category,count
other,19450
childcare,1445
neighbourhood,1443
place_of_worship,1058
hospital,1046
restaurant,964
bank,674
school,532
park,472
health_post,432
clothes,386
supermarket,369
clinic,357
fast_food,353
fuel,316
cafe,284
college,268
hotel,250
university,245
pharmacy,237
hostel,227
atm,217
bakery,213
suburb,170
village,169
yes,166
pitch,149
water,138
mall,123
cinema,120
community_centre,118
car,118
mobile_phone,102
electronics,102
bar,99
jewelry,97
general,93
fitness_centre,89
food_court,85
apartment,83
artwork,79
police,77
motorcycle,76
confectionery,76
beauty,75
doctors,73
stationery,73
bus_station,72
hairdresser,68
convenience,68
playground,65
events_venue,61
medical_supply,61
butcher,57
furniture,56
shoes,55
ice_cream,55
hamlet,54
department_store,52
memorial,52
post_office,50
dentist,50
marketplace,49
guest_house,48
books,47
theatre,46
car_repair,44
locality,44
sports_centre,44
monument,40
conference_centre,39
swimming_pool,39
wine,37
parking,36
optician,35
attraction,34
library,32
garden,32
fixme,28
tailor,28
dairy,28
pub,27
kindergarten,25
alcohol,24
cosmetics,24
hardware,23
motorcycle_repair,23
tea,21
stadium,20
research_institute,20
photo,19
car_wash,18
gift,17
greengrocer,16
travel_agency,16
beverages,15
museum,15
sports,15
computer,14
interior_decoration,14
archaeological_site,13
townhall,13
internet_cafe,13
grocery,12
social_facility,12
laundry,12
ticket,12
tomb,11
studio,11
appliance,11
florist,11
veterinary,10
bicycle,10
language_school,10
fabric,10
grave_yard,10
electrical,10
dry_cleaning,10
wholesale,10
prep_school,9
watches,8
health_food,8
food,8
golf_course,8
driving_school,8
fountain,8
fashion_accessories,8
tree,8
resort,7
grassland,7
paint,7
coffee,7
islet,7
tobacco,7
vending_machine,6
toilets,6
city_gate,6
chemist,6
car_parts,6
fire_station,6
courthouse,6
pet,6
wood,6
peak,6
taxi,6
pastry,6
post_box,5
money_transfer,5
public_building,5
gas,5
variety_store,5
tattoo,5
viewpoint,5
trade,5
toys,5
doityourself,5
tiles,5
car_rental,5
agrarian,4
prison,4
motel,4
art,4
gallery,4
copyshop,4
square,4
track,4
bag,4
tyres,4
theme_park,4
repair,4
seafood,4
rental,4
post_depot,4
dance,3
clock,3
catalogue,3
castle,3
town,3
baby_goods,3
bed,3
training,3
bicycle_rental,3
bureau_de_change,3
telephone,3
telecommunication,3
hifi,3
fitness_station,3
scrub,3
recreation_ground,3
ferry_terminal,3
fashion,3
exhibition_centre,3
garden_centre,3
crematorium,3
kitchen,3
pawnbroker,3
music,3
waste_disposal,3
wetland,3
aquarium,3
animal_shelter,3
arts_centre,2
water_park,2
music_school,2
outdoor,2
massage,2
nature_reserve,2
water_point,2
musical_instrument,2
perfumery,2
motorcycle_parking,2
hijama Service Center,2
photo_booth,2
kiosk,2
picnic_site,2
motorcycle_parts,2
party,2
drinking_water,2
dojo,2
farm,2
shelter,2
smoking_area,2
student_accommodation,2
dog_park,2
religion,2
herbalist,2
information,2
city,2
cliff,2
common,2
caravan_site,2
bookmaker,2
bandstand,2
bus_stop,2
boutique,2
bicycle_parking,2
motorcycle_rental,1
mobile_phone_accessories,1
photo_studio,1
place,1
medical,1
window_blind,1
workshop,1
outdoor_seating,1
office,1
nutrition_supplements,1
nuts,1
nursing_home,1
newsagent,1
HP Gas Depot,1
wayside_shrine,1
water_filter,1
waste_transfer_station,1
amusement_arcade,1
Temple,1
MCH_park,1
Reasearch Center,1
Education,1
Dispensary,1
hospital;bank,1
horse_riding,1
hindu,1
hill,1
public_transport,1
public,1
psychic,1
practice_pitch,1
love_hotel,1
pottery,1
postal,1
plot,1
lighting,1
logistics,1
leather,1
kirana_store,1
model,1
juice_bar,1
planetarium,1
frame,1
rock,1
rice,1
retail shops,1
saloon,1
games,1
frozen_food,1
recycling,1
houseware,1
indoor_play,1
heritage_building,1
pyrotechnics,1
household_linen,1
deli,1
sports_hall,1
courier,1
craft,1
fireworks,1
education,1
service,1
shoe_repair,1
driver_training,1
cement_traders,1
church,1
chocolate,1
casino,1
convention store,1
cape,1
canteen,1
bleachers,1
bike_repair,1
tiffincenter,1
sweet,1
building;castle,1
bridge,1
camera,1
boutique;bag,1
camp_site,1
bathroom_furnishing,1
beach_resort,1
travel_agency;shoes,1
vegetable,1
video_games,1
COMPANY,1
zoo,1
