poi_id,osm_id,name,category,itinerary_category,latitude,longitude,nearest_road_node,distance_to_road_m,mapping_quality
HYD000007,341109830,Sai Baba Mandir,Temple,Religion,17.4317049,78.43074102,7682824743,12.311,Normal
HYD000036,7035236525,Funcity,amusement_arcade,Entertainment,17.4350914,78.3870555,6150752511,43.018,Normal
HYD000123,14107474772,Agromech,appliance,Shopping,17.4542849,78.4975667,3147189503,31.923,Normal
HYD000124,7570681970,Anand Home Appliances,appliance,Shopping,17.4788816,78.5136125,5486109278,26.682,Normal
HYD000125,11771783698,Bajaj Electronics,appliance,Shopping,17.4083542,78.4010015,11846429869,23.701,Normal
HYD000126,11771783699,Bajaj Electronics,appliance,Shopping,17.4030288,78.4108058,1295721410,19.323,Normal
HYD000127,11772090400,Bajaj Electronics,appliance,Shopping,17.4960675,78.3655545,11221794473,30.597,Normal
HYD000128,13208186044,Bajaj Electronics,appliance,Shopping,17.4233643,78.4546004,1754254156,56.869,Normal
HYD000129,13227657220,Bajaj Electronics,appliance,Shopping,17.4060582,78.4646836,1263253349,14.249,Normal
HYD000130,13208144255,IFB,appliance,Shopping,17.4709588,78.4272873,12313745989,26.018,Normal
HYD000131,6570905743,MM Chandra Wet Grinder,appliance,Shopping,17.4224641,78.5661119,6634762311,19.057,Normal
HYD000132,13965391457,Reliance Digital,appliance,Shopping,17.4278804,78.3283531,1311044354,34.07,Normal
HYD000133,11772090402,Sonovison,appliance,Shopping,17.4978198,78.3792464,2249765205,19.061,Normal
HYD000134,8386545885,Lakshmi Ganesh Aquarium,aquarium,Entertainment,17.5185807,78.3957388,1906537071,12.908,Normal
HYD000135,355725660,Ocean Blue Aquariums,aquarium,Entertainment,17.52476266,78.37144599999999,11052663143,11.058,Normal
HYD000136,4636434310,aq,aquarium,Entertainment,17.4181258,78.4822357,308792946,4.023,Normal
HYD000137,6808260893,18 Steps,archaeological_site,Culture & Heritage,17.3897401,78.3950617,7686954122,174.104,Extended
HYD000138,6808260911,Golconda Jail,archaeological_site,Culture & Heritage,17.3896604,78.3964049,7686954122,37.859,Normal
HYD000139,933350847,Golconda Jail,archaeological_site,Culture & Heritage,17.38966198,78.39642404,7686954122,36.504,Normal
HYD000140,933350848,Golkonda Reservoir,archaeological_site,Culture & Heritage,17.38902402,78.40152026000001,13382776428,80.084,Normal
HYD000141,4313322315,Gulzar houz (fountain),archaeological_site,Culture & Heritage,17.3634508,78.4749992,9816246921,3.982,Normal
HYD000142,318606404,Khairunissa Tomb,archaeological_site,Culture & Heritage,17.409105539999995,78.46360968000002,712861620,22.715,Normal
HYD000143,6377172957,Megalithic Burial Site,archaeological_site,Culture & Heritage,17.4622523,78.3342027,3602309073,69.822,Normal
HYD000144,238192600,Moghalpura Tomb,archaeological_site,Culture & Heritage,17.357317542857142,78.47641245714286,312796799,27.437,Normal
HYD000145,238192345,Purani Haveli,archaeological_site,Culture & Heritage,17.365289844444444,78.48274120555556,2854813668,51.833,Normal
HYD000146,253509394,Qutub Shahi Tombs,archaeological_site,Culture & Heritage,17.395602139473684,78.39644539473684,3579911270,6.837,Normal
HYD000147,9923836904,The Heritage well,archaeological_site,Culture & Heritage,17.4244789,78.5255086,13399655000,34.671,Normal
HYD000148,332097820,Tomb,archaeological_site,Culture & Heritage,17.40344898,78.39998604,11052308706,21.624,Normal
HYD000149,8651547296,Victory Cannon - Fateh Rahbar,archaeological_site,Culture & Heritage,17.3898461,78.3948926,3579910425,165.943,Extended
HYD000150,14102765701,Hyderi Design Studio,art,Culture & Heritage,17.4252849,78.4226483,3602300045,4.504,Normal
HYD000151,7244207465,Indian Arts Banners,art,Culture & Heritage,17.3362421,78.5745577,14002286696,22.894,Normal
HYD000152,776421957,Indian Arts Banners,art,Culture & Heritage,17.33626076,78.57454952,14002286696,20.669,Normal
HYD000153,5994099240,Utkalika,art,Culture & Heritage,17.4031231,78.4660077,2179449097,10.788,Normal
HYD000154,95971680,Hyderabad International Convention Centre,arts_centre,Culture & Heritage,17.472777472727273,78.37356276363636,1425963879,44.404,Normal
HYD000155,1334695975,Lamakaan,arts_centre,Culture & Heritage,17.4210695,78.4472747,2126205811,24.037,Normal
HYD000156,5695396239,Alluri Sitaramaraju,artwork,Culture & Heritage,17.4202188,78.4836894,2180033506,43.549,Normal
HYD000157,13287712050,Ambedkar,artwork,Culture & Heritage,17.450893,78.3690817,1299292645,14.379,Normal
HYD000158,13436940709,Ambedkar Statue,artwork,Culture & Heritage,17.4637659,78.4754244,1241818999,5.933,Normal
HYD000159,5695396238,Arthur Cotton,artwork,Culture & Heritage,17.4197968,78.483324,2180033506,22.309,Normal
HYD000160,13532195625,B.R. Ambedkar,artwork,Culture & Heritage,17.4268631,78.4527809,2590027235,10.25,Normal
HYD000161,885387685,BR Ambedkar statue,artwork,Culture & Heritage,17.512664014285715,78.55594795714285,12725290420,6.031,Normal
HYD000162,4382893291,Boduppal NTR Statue;NTR Statue,artwork,Culture & Heritage,17.412183,78.5856175,310446917,3.427,Normal
HYD000163,13535855591,Brahma Naidu,artwork,Culture & Heritage,17.4139817,78.4788458,2180033498,15.916,Normal
HYD000164,13348513089,Buddha,artwork,Culture & Heritage,17.3366398,78.5229994,7726270682,84.938,Normal
HYD000165,4618969189,Chearalapalli gas plant,artwork,Culture & Heritage,17.4499274,78.609894,7690167307,9.069,Normal
HYD000166,8389362371,DR B R Ambedkar Statue,artwork,Culture & Heritage,17.4992965,78.4518896,3151921722,21.346,Normal
HYD000167,8212056791,Dancing Peacock,artwork,Culture & Heritage,17.5165729,78.3962676,1906537047,11.226,Normal
HYD000168,8212056792,Dancing Peacock,artwork,Culture & Heritage,17.5164258,78.3962716,1906537047,7.979,Normal
HYD000169,10279780116,Dr B.R Ambedhkar,artwork,Culture & Heritage,17.3359639,78.5262989,11843057543,1.804,Normal
HYD000170,6651586866,Dr BR Abedkar,artwork,Culture & Heritage,17.4948049,78.3262355,4169678446,1.183,Normal
HYD000171,3158888374,Dr. B R Ambedkar,artwork,Culture & Heritage,17.4087432,78.4754594,3098625687,10.607,Normal
HYD000172,6759169595,Dr. BR Ambdekar Statue,artwork,Culture & Heritage,17.4614001,78.500257,3164339022,12.199,Normal
HYD000173,12669657945,GANDHI STATUE,artwork,Culture & Heritage,17.3859635,78.4705733,1813453041,12.917,Normal
HYD000174,6481309590,Ganapati statue,artwork,Culture & Heritage,17.5395448,78.3860903,1705408120,6.833,Normal
HYD000175,6480567086,Gandhi Statue,artwork,Culture & Heritage,17.4948686,78.3223719,4169678450,2.379,Normal
HYD000176,2783285889,Gandhi Statue;Yellamma Banda,artwork,Culture & Heritage,17.5106025,78.4068992,7676492850,1.552,Normal
HYD000177,7465741955,Gandhi statue,artwork,Culture & Heritage,17.492972,78.4595429,4193176404,14.391,Normal
HYD000178,13535855578,Gurram Jashuva,artwork,Culture & Heritage,17.4172597,78.4812606,6372012794,29.013,Normal
HYD000179,6481309591,Hanuman Statue,artwork,Culture & Heritage,17.5413805,78.3867629,1705374879,4.303,Normal
HYD000180,6575821829,Indhira Gandhi Bust,artwork,Culture & Heritage,17.4190599,78.5651672,310444470,7.789,Normal
HYD000181,5087783869,India home,artwork,Culture & Heritage,17.4067161,78.4115038,2795871633,31.686,Normal
HYD000182,5774457979,Indira Gandhi,artwork,Culture & Heritage,17.4541561,78.3788896,11385036350,12.086,Normal
HYD000183,2709066939,Indira Gandhi statue,artwork,Culture & Heritage,17.3683494,78.5250179,307047906,6.248,Normal
HYD000184,2710960045,Iqbal Minar,artwork,Culture & Heritage,17.4067575,78.4675413,289904900,2.039,Normal
HYD000185,13673824532,Jhansi rani Laxmi Bhai statue,artwork,Culture & Heritage,17.370997,78.463625,2852245605,22.763,Normal
HYD000186,3598261403,KL technical services,artwork,Culture & Heritage,17.4448891,78.4758544,3598261403,0.0,Normal
HYD000187,10722816683,Kakatiya Kala Toranam,artwork,Culture & Heritage,17.3867143,78.3517809,11971562284,22.09,Normal
HYD000188,5695396233,Kandukuri Veeresalingam,artwork,Culture & Heritage,17.4185623,78.4823255,2180033509,20.906,Normal
HYD000189,13535855588,Kshetrayya,artwork,Culture & Heritage,17.4149032,78.4793665,2180033486,13.031,Normal
HYD000190,5177853521,Lord Buddha,artwork,Culture & Heritage,17.4155839,78.4749604,2794480686,425.835,Extended
HYD000191,6651586865,Lord Budha,artwork,Culture & Heritage,17.495267,78.3251612,4193188222,9.164,Normal
HYD000192,4359575890,Madivada House,artwork,Culture & Heritage,17.4467707,78.4476723,11038588131,51.078,Normal
HYD000193,13673515307,Maharana Pratap statue,artwork,Culture & Heritage,17.3713735,78.4695435,4203989138,19.705,Normal
HYD000194,9679249353,Mahatma Gandhi Statue,artwork,Culture & Heritage,17.4134182,78.5179707,2234499123,2.319,Normal
HYD000195,13535855576,Maqdoom Mohiuddin,artwork,Culture & Heritage,17.4182153,78.482039,308792946,20.088,Normal
HYD000196,13536912462,Molla,artwork,Culture & Heritage,17.4135508,78.4785704,4314301888,18.752,Normal
HYD000197,13535855579,Mutnuri Krishnarao,artwork,Culture & Heritage,17.4169625,78.4810305,6372012794,50.161,Normal
HYD000198,7794408129,NTR,artwork,Culture & Heritage,17.460627,78.5353649,7701752847,13.904,Normal
HYD000199,10722816682,Nandi Statue,artwork,Culture & Heritage,17.386475,78.3508052,4327976655,17.967,Normal
HYD000200,6651585139,P Janardhan Reddy,artwork,Culture & Heritage,17.4947961,78.3282759,10279764591,4.826,Normal
HYD000201,8107894705,PJR Statue,artwork,Culture & Heritage,17.4541242,78.4225591,6297948162,6.93,Normal
HYD000202,7174411621,PJR statue,artwork,Culture & Heritage,17.4304343,78.4053299,6505373566,7.203,Normal
HYD000203,3388789885,Paparayudu Statue,artwork,Culture & Heritage,17.4845469,78.4144065,3182362462,4.704,Normal
HYD000204,5695396235,Pingali Venkayya,artwork,Culture & Heritage,17.4189819,78.4826668,2180033509,42.542,Normal
HYD000205,13535855589,Potuluri Veerabrahmendra Swami,artwork,Culture & Heritage,17.4145902,78.4791665,2180033491,19.557,Normal
HYD000206,7672845180,Professor Jaya Shankar Statue,artwork,Culture & Heritage,17.5095234,78.4073448,7676492849,1.671,Normal
HYD000207,13535855582,Raghupati Venkataratnam Naidu,artwork,Culture & Heritage,17.4163027,78.4805319,2180033515,40.478,Normal
HYD000208,6651585137,Rajiv Gandhi Bust,artwork,Culture & Heritage,17.4935425,78.3278113,2000781933,11.187,Normal
HYD000209,13535855584,Ramadasu,artwork,Culture & Heritage,17.4156734,78.4799885,2180033518,28.518,Normal
HYD000210,1456251125,Ramoji Film City sign,artwork,Culture & Heritage,17.30335484,78.67949672,5513852601,107.597,Extended
HYD000211,4105782396,SMaCkY's WESTERN MUSIC PRODUCTIONS,artwork,Culture & Heritage,17.3683579,78.5560246,1596680276,13.876,Normal
HYD000212,6481309596,Saraswati Statue,artwork,Culture & Heritage,17.538323,78.3847786,1705378172,43.373,Normal
HYD000213,6581444880,Sardar Sarvai Papanna Goud Maharaj Statue,artwork,Culture & Heritage,17.4161083,78.5656974,2841168861,22.077,Normal
HYD000214,4640250438,Shiva Sculpture,artwork,Culture & Heritage,17.4066269,78.487062,13335998458,10.951,Normal
HYD000215,12854677475,Shivaji statue,artwork,Culture & Heritage,17.3964386,78.5297924,3169765046,8.385,Normal
HYD000216,13535855587,Sri Krishnadevaraya,artwork,Culture & Heritage,17.4153652,78.4797451,2180033518,21.676,Normal
HYD000217,13535855580,Sri Sri,artwork,Culture & Heritage,17.4165611,78.4807275,2180033515,14.108,Normal
HYD000218,13535855577,Suravaram Pratapa Reddy,artwork,Culture & Heritage,17.4176759,78.481605,2180033511,21.641,Normal
HYD000219,5910138918,Swami Vivekananda Bust,artwork,Culture & Heritage,17.337224,78.3917959,2744202947,7.111,Normal
HYD000220,6575821828,Swami Vivekananda Statue,artwork,Culture & Heritage,17.4212349,78.5642235,3598304605,10.827,Normal
HYD000221,4377408598,T V Rao House,artwork,Culture & Heritage,17.4212626,78.4521219,10035871468,8.493,Normal
HYD000222,883082812,Telangana Martyrs Memorial,artwork,Culture & Heritage,17.5184889,78.39628744,8140736835,19.225,Normal
HYD000223,6934744456,Three Wise Monkeys,artwork,Culture & Heritage,17.5185706,78.3962652,8140736835,10.562,Normal
HYD000224,8212056790,Three Wise Monkeys,artwork,Culture & Heritage,17.5187458,78.3963038,8140736835,9.445,Normal
HYD000225,5695396237,Tripuraneni Ramaswamy Chowdhary,artwork,Culture & Heritage,17.4194197,78.4830017,6373360550,20.729,Normal
HYD000226,8212081015,Trumpetting Elephant,artwork,Culture & Heritage,17.5209248,78.3963149,1906537100,5.98,Normal
HYD000227,8212081016,Trumpetting Elephant,artwork,Culture & Heritage,17.5207894,78.3963145,1906537100,12.502,Normal
HYD000228,13535855583,Tyagayya,artwork,Culture & Heritage,17.4160529,78.4803232,2180033515,74.551,Normal
HYD000229,5774459978,Y S Rajashekar Reddy,artwork,Culture & Heritage,17.4519876,78.3915,8354326559,5.085,Normal
HYD000230,5714129422,imran bhai home,artwork,Culture & Heritage,17.3812802,78.4587891,3612560922,30.275,Normal
HYD000231,2710980815,know concepts designs,artwork,Culture & Heritage,17.4320872,78.4923799,7712744938,35.701,Normal
HYD000232,5258266422,omer bhai farm house,artwork,Culture & Heritage,17.359726,78.2417418,12329984858,119.447,Extended
HYD000233,2713857911,pjr statue,artwork,Culture & Heritage,17.4299564,78.4252582,9073649765,7.1,Normal
HYD000234,2712509505,vistar graphics,artwork,Culture & Heritage,17.4027157,78.4937938,4000121887,17.048,Normal
HYD000489,13673825487,Bags store,bag,Shopping,17.378075,78.4740996,308779608,21.07,Normal
HYD000490,13673825488,Bags store,bag,Shopping,17.3780539,78.4743725,308779609,26.463,Normal
HYD000491,3387338125,Global Lugage,bag,Shopping,17.4952088,78.4029274,1428880516,9.836,Normal
HYD000492,6191414053,Hi-Tech Leather and Luggage,bag,Shopping,17.4414659,78.3882116,1836644092,5.198,Normal
HYD000493,355990071,5th Avenue bakery,bakery,Food,17.4875505,78.54272418333335,3598276355,19.863,Normal
HYD000494,4187284599,Adarsh Bakery,bakery,Food,17.4061963,78.4731639,2847575147,9.077,Normal
HYD000495,6822126592,Aditya Bakery,bakery,Food,17.4656073,78.4268712,2249914639,7.52,Normal
HYD000496,6314120285,Agrawala,bakery,Food,17.405396,78.4514234,3204046788,19.698,Normal
HYD000497,6822126514,Al Madina Bakery,bakery,Food,17.3056081,78.4674912,3602492261,11.915,Normal
HYD000498,7246516885,Amma pestries,bakery,Food,17.4993581,78.4158184,2783285250,26.675,Normal
HYD000499,9903766084,Anmol,bakery,Food,17.5167713,78.4374406,6308390523,5.914,Normal
HYD000500,9924632183,Arabian Bakers,bakery,Food,17.4763772,78.4821011,2789775349,19.126,Normal
HYD000501,7560753650,Aroma Bakery,bakery,Food,17.4797617,78.5332459,2222562284,14.672,Normal
HYD000502,7244245622,Asian bakers,bakery,Food,17.5291007,78.2647706,11136064246,39.814,Normal
HYD000503,7243976986,Atif bakery,bakery,Food,17.504029,78.4156394,2783285449,7.033,Normal
HYD000504,1428322567,BABA Bakery,bakery,Food,17.3380428,78.4679539,7713281032,19.76,Normal
HYD000505,6393107215,Bake Delight,bakery,Food,17.4185968,78.5844742,3598303812,17.098,Normal
HYD000506,1693979524,Bake Zone,bakery,Food,17.4096037,78.4877478,7716190233,16.465,Normal
HYD000507,4225056389,Baker's Den,bakery,Food,17.4408372,78.5041362,2234141670,16.723,Normal
HYD000508,928699177,Baker's Inn,bakery,Food,17.4556992,78.4849652,3148642278,8.853,Normal
HYD000509,2708233572,Baker's Q,bakery,Food,17.3978714,78.5123497,3415837329,10.506,Normal
HYD000510,6259451487,Bakers Kraft,bakery,Food,17.4396521,78.3979836,5555608924,48.204,Normal
HYD000511,2429315416,Bakers Q,bakery,Food,17.3678504,78.5398958,1602512764,12.481,Normal
HYD000512,1437365098,Bakery,bakery,Food,17.4534513,78.5290189,4029417650,14.128,Normal
HYD000513,4650619500,Bakery,bakery,Food,17.3528878,78.5563781,2247661190,16.529,Normal
HYD000514,6199004287,Bakery,bakery,Food,17.391647,78.5320583,1317004259,16.507,Normal
HYD000515,6822126601,Balaji Mithai Bhandar,bakery,Food,17.4334256,78.4459784,1754236143,20.862,Normal
