poi_id,osm_id,name,category,latitude,longitude,itinerary_category,is_itinerary_candidate
HYD000001,1070474238,IGIS(Integrated Geo Instruments & Services),COMPANY,17.4263351,78.5352643,Unclassified,False
HYD000002,6481977030,"CGHS Dispensary No.IX, Alwal, Secunderabad",Dispensary,17.5090143,78.5061926,Unclassified,False
HYD000003,356273696,Hyderabad Study Circle,Education,17.41040992,78.48425526000001,Unclassified,False
HYD000004,635576610,Vidyanagar Gas Depot,HP Gas Depot,17.4047029,78.5117951,Unclassified,False
HYD000005,2388304337,MCH Park,MCH_park,17.4428439,78.4398896,Unclassified,False
HYD000006,5532338968,ICRISAT ENTRANCE,Reasearch Center,17.5182603,78.2793156,Unclassified,False
HYD000007,341109830,Sai Baba Mandir,Temple,17.4317049,78.43074102,Religion,True
HYD000008,6273534630,Gopalrao Poultry Farms,agrarian,17.2565487,78.5380401,Unclassified,False
HYD000009,6273534628,Madavaram Poultry Farms,agrarian,17.2499707,78.5357012,Unclassified,False
HYD000010,7706713348,Vellanki Agros,agrarian,17.2509126,78.2637854,Unclassified,False
HYD000011,11696738049,pest control services,agrarian,17.361645,78.5442884,Unclassified,False
HYD000012,5292918322,Aadhya,alcohol,17.560746,78.4338884,Unclassified,False
HYD000013,5608451370,Ambica Wines,alcohol,17.4198003,78.5162166,Unclassified,False
HYD000014,13208144257,Bhavani Wines,alcohol,17.4686396,78.4285129,Unclassified,False
HYD000015,14022778125,Chivas,alcohol,17.4187325,78.3646081,Unclassified,False
HYD000016,13208144260,Kanakadurga Wines,alcohol,17.4670331,78.4293658,Unclassified,False
HYD000017,1215774395,Kondapur Wine Spot,alcohol,17.4649497,78.3672058,Unclassified,False
HYD000018,5541547986,Laxmi Wines,alcohol,17.4081114,78.5970926,Unclassified,False
HYD000019,13227600324,Liquor Drops,alcohol,17.4149782,78.3935719,Unclassified,False
HYD000020,4464632489,Litile powerschool chirally,alcohol,17.3881696,78.4772867,Unclassified,False
HYD000021,5539017752,Manju Wines,alcohol,17.4100962,78.6042769,Unclassified,False
HYD000022,6710912118,Patny Wine Merchants,alcohol,17.4428933,78.4959802,Unclassified,False
HYD000023,7244140145,Pavani Wines,alcohol,17.5265554,78.2701133,Unclassified,False
HYD000024,9104578919,Q by Toniue,alcohol,17.4959565,78.3655099,Unclassified,False
HYD000025,9903794527,Ramaram Wines,alcohol,17.516514,78.4377454,Unclassified,False
HYD000026,4614310920,Rudraksh Wines,alcohol,17.4427514,78.4779968,Unclassified,False
HYD000027,11373181971,SVD Liquor Mart Wines,alcohol,17.4233513,78.6057171,Unclassified,False
HYD000028,6582353400,Sree Vijaya Durga Wines,alcohol,17.4210242,78.5646761,Unclassified,False
HYD000029,5608451369,Sri Sai Wines,alcohol,17.4199756,78.5168114,Unclassified,False
