source_poi_id,HYD004314,HYD033884,HYD036145,HYD005564,HYD034072,HYD005956,HYD034695,HYD033611,HYD035230,HYD033878
HYD004314,0.0,7.303166,16.779909,16.357598,8.170115,11.239371,22.258643,5.751861,10.613614,6.430376
HYD033884,7.641264,0.0,16.777342,15.615595,13.636206,13.114488,16.471243,10.250065,12.314533,11.116737
HYD036145,16.965606,16.75338,0.0,1.591423,12.79499,8.400114,28.735277,22.225164,27.208771,10.971949
HYD005564,16.417648,15.161957,1.468401,0.0,12.247032,7.852156,27.143854,21.677207,25.864905,10.423991
HYD034072,7.904147,13.538812,12.387888,11.965577,0.0,4.310708,28.494288,12.895735,18.517762,3.353393
HYD005956,11.536136,13.529713,8.332786,7.910475,5.040948,0.0,27.611947,16.795695,21.779302,5.391145
HYD034695,21.569425,14.978897,27.606809,26.445061,27.803345,26.506222,0.0,19.636359,16.231168,25.178263
HYD033611,6.58098,10.228334,22.704459,22.282147,13.660215,17.16392,19.83829,0.0,6.573154,12.164641
HYD035230,11.299479,13.442379,27.389988,26.485026,18.947075,21.85307,16.868778,7.145619,0.0,17.044075
HYD033878,6.42714,11.20539,10.879698,10.457386,3.414962,5.097193,26.160866,11.625722,16.797234,0.0
