poi_id,name,itinerary_category,latitude,longitude,nearest_road_node
HYD034667,Bata,Shopping,17.5155413,78.3825882,8386715627
HYD035259,Ratnadeep Supermarket,Shopping,17.4366207,78.4338279,7718986093
HYD004512,Superdry,Shopping,17.4340386,78.4050842,1578599723
HYD004493,Shoppers Stop,Shopping,17.4186746,78.4487814,2126214140
HYD000574,Goodluck Bakery,Food,17.4799346,78.3201433,10600434120
HYD033571,Madhushala,Food,17.42993456,78.43171284,11041723785
HYD004371,Linen Club,Shopping,17.4116365,78.3959609,12578282001
HYD005902,Noodles Corner,Food,17.4999535,78.5125691,2232047887
HYD005548,Reliance Digital - Electronic Store,Shopping,17.4821169,78.4486083,8366601354
HYD005162,Sahaja Aharam,Shopping,17.426757,78.5400399,1939290885
HYD035231,Ratnadeep,Shopping,17.4550989,78.4985143,3207195566
HYD001636,sri venkateshwara book store,Shopping,17.3668391,78.521005,2243963217
HYD034035,green bawarchi restaurant,Food,17.3682472,78.525612,2243963522
HYD005164,Sai general kirana store,Shopping,17.514081,78.5567757,2794317055
HYD005708,Catering,Food,17.4330793,78.5012389,308952235
HYD033495,"Jain Kitchen, Pure Vegetarian Restaurant",Food,17.49001,78.3723191,5917822580
HYD009150,Mangatrai Jewelary,Shopping,17.4336986,78.4057656,5675269238
HYD005907,Paradise Takeaway,Food,17.4415483,78.4874318,12724785047
HYD033651,Nectar Kitchen & Bar,Food,17.4384489,78.3990271,1836662476
HYD035146,Heritage Fresh,Shopping,17.4981041,78.409625,1428964212
HYD009391,Mekala Complex,Shopping,17.40125336,78.56376875999999,10308621090
HYD005560,Show me MI Mobiles,Shopping,17.4739652,78.5689303,6149977289
HYD000591,KS Bakers,Food,17.4319006,78.4465177,1312229423
HYD001904,Hina J.K Point,Food,17.4557125,78.4091484,1284260203
HYD035283,Reliance Fresh,Shopping,17.4949521,78.4116846,1431239091
HYD005051,Mithas Vatika,Food,17.3633929,78.428707,2739329336
HYD004311,H&M,Shopping,17.4329505,78.4069035,3146877637
HYD033246,Bawarchi,Food,17.44130972,78.35928334,1753608446
HYD005069,Sweet Shop,Food,17.3998818,78.4627205,11980154951
HYD000634,Nikhil's Bakery,Food,17.4978204,78.5463461,982234725
