source_poi_id,HYD033632,HYD000694,HYD034013,HYD005820,HYD001987,HYD033599,HYD002036,HYD033633,HYD033905,HYD034019,HYD035573,HYD006240,HYD033542,HYD033797,HYD033477,HYD033974,HYD033556,HYD003799,HYD033674,HYD033573,HYD005861,HYD005812,HYD005935,HYD033865,HYD033714,HYD005779,HYD005924,HYD033531,HYD001807,HYD005970
HYD033632,0.0,14.578771,19.356123,15.418258,3.85423,19.980833,8.313097,3.7664,18.584909,13.063586,29.039898,2.086904,21.499103,3.99501,7.399251,17.108039,14.643189,2.13005,18.149372,14.526379,7.408199,7.776205,3.599357,12.319487,17.832835,16.219479,18.739945,12.732725,11.105013,17.746189
HYD000694,15.007114,0.0,15.613967,15.509365,13.237962,9.961819,22.918646,13.234144,11.096676,15.145028,21.690525,13.955012,13.417795,13.004276,11.122744,4.911607,14.744038,13.876639,16.32326,13.078349,22.013749,12.398587,12.42247,14.507673,9.751528,19.897137,15.885688,14.814168,4.142387,5.549757
HYD034013,19.701869,15.884974,0.0,5.448948,21.748343,9.45138,26.706359,21.660512,5.139308,8.743146,10.87431,20.825062,3.810294,21.545278,12.783181,19.201667,6.609877,20.112712,2.279323,5.422333,25.801462,21.54796,20.64375,26.183164,6.446293,8.567524,2.458626,8.412285,16.482195,19.839817
HYD005820,15.480933,15.587645,4.22702,0.0,18.238975,9.610671,22.485423,18.151144,4.908809,4.52221,15.10133,16.604126,8.037314,18.091681,8.777161,18.971169,2.353231,15.891776,3.020269,2.322747,21.580526,18.094363,17.190153,24.401895,6.990494,5.424438,3.610842,4.191349,14.700926,19.609319
HYD001987,3.848031,13.187283,21.343332,17.935304,0.0,20.376852,10.415955,0.08783,19.43145,15.610135,30.167851,1.790987,21.895121,0.25421,10.111672,15.71655,17.116826,3.346059,20.13658,16.513587,9.511057,4.434099,1.118847,9.378039,18.228854,19.222373,20.727154,15.279274,9.713524,16.3547
HYD033599,19.399022,9.897193,9.538452,9.960217,19.891208,0.0,26.695834,19.88739,5.025365,13.254414,14.874202,19.879343,6.601473,19.657522,12.414192,12.762642,11.121146,19.688972,10.247745,9.205927,25.790937,19.370154,19.07057,23.697695,2.960534,13.821622,9.810173,12.923554,13.671653,13.35259
HYD002036,8.527668,22.78285,26.418528,22.191507,10.817524,27.612201,0.0,10.80815,26.216277,20.542748,35.707997,9.572676,29.13047,10.98744,15.030619,25.312118,21.416438,10.38394,25.211776,22.157746,0.911492,12.659836,11.085129,16.292641,25.464203,21.85997,25.78492,20.242422,19.309092,25.950268
HYD033633,3.760201,13.183465,21.274938,17.866911,0.08783,20.373033,10.406581,0.0,19.427631,15.541741,30.140383,1.703156,21.891303,0.254338,10.043279,15.712732,17.048433,3.258229,20.068187,16.445194,9.501684,4.43028,1.031016,9.465869,18.225035,19.134543,20.65876,15.210881,9.709706,16.350882
HYD033905,19.0045,11.381929,5.639845,6.06161,19.882897,5.338124,26.301312,19.879079,0.0,9.355807,12.768572,19.781221,4.646283,19.649211,12.019669,14.698622,7.222539,19.415343,6.349138,5.307321,25.396414,19.361843,18.972448,23.973501,2.686379,9.923015,5.911566,9.024947,14.272532,15.336772
HYD034019,11.403646,14.044528,9.516362,5.289341,14.161688,14.085728,18.66206,14.073858,9.964728,0.0,20.390672,12.52684,13.215111,14.054596,4.542911,17.911945,4.470864,11.81449,8.309611,5.241679,17.757163,14.057278,13.153068,20.771097,11.691331,8.230784,8.900184,2.059926,12.350837,18.550095
HYD035573,29.339886,21.507846,11.387385,15.715737,30.008814,14.495842,36.070407,30.004996,13.740822,19.009934,0.0,29.996949,9.081705,29.775128,22.355056,24.824539,16.876666,29.750729,12.464274,15.689122,35.16551,29.48776,29.188176,34.099418,12.498154,17.250095,12.725415,18.679073,24.398449,25.437248
HYD006240,2.080706,13.49262,20.599913,16.851176,1.790987,20.304073,9.249636,1.703156,19.358671,14.307376,29.934612,0.0,21.822342,1.931767,8.643041,16.021888,16.076107,1.624075,19.393162,15.770169,8.344739,5.709391,1.532542,10.849664,18.156074,17.693291,19.983735,13.976515,10.018861,16.660037
HYD033542,21.897555,13.888772,4.108233,8.436584,22.389741,6.876768,29.194367,22.385922,5.792173,11.730782,8.387653,22.377876,0.0,22.156055,14.912724,17.205466,9.597513,22.187505,5.560953,8.409969,28.28947,21.868687,21.569103,26.480344,4.879081,11.55516,5.446262,11.399921,16.779375,17.818174
HYD033797,3.988812,12.953597,21.109646,17.701618,0.25421,20.143166,10.585871,0.254338,19.197764,15.376449,29.934165,1.931767,21.661435,0.0,9.877986,15.482864,16.88314,3.457087,19.902894,16.279901,9.680974,4.200413,1.121931,9.467142,17.995168,19.333401,20.493467,15.045588,9.479838,16.121014
HYD033477,7.079437,11.225879,12.274044,8.616507,9.837479,12.898754,14.376249,9.749649,11.502831,5.981507,21.957819,8.202631,14.417024,9.879966,0.0,15.093297,7.798029,7.490281,11.067293,7.4443,13.471352,9.882648,8.978437,16.596466,10.750756,11.821505,11.657866,5.650647,9.532188,15.731446
HYD033974,17.843929,5.540015,19.39263,19.814395,16.074778,13.189001,25.755462,16.07096,14.875339,19.553952,25.469188,16.791828,17.196459,15.841092,15.531667,0.0,19.760295,16.713455,20.101923,18.036276,24.850565,14.783107,15.259286,14.359124,13.530191,23.6758,19.664351,19.223091,6.979203,0.674103
HYD033556,14.686025,15.378045,5.045498,0.818478,17.444066,10.429148,21.690515,17.356236,5.727287,3.727302,15.919808,15.809218,8.855792,17.318271,8.003752,18.963439,0.0,15.096868,3.838747,1.951599,20.785618,17.320953,16.416743,24.030748,7.808972,5.778786,4.42932,3.41794,14.329779,19.601589
HYD003799,1.42805,13.731107,19.400728,15.651991,3.512086,20.025438,9.24413,3.424256,18.629515,13.108191,29.084503,1.781167,21.543708,3.652866,7.443856,16.260374,14.876922,0.0,18.193977,14.570984,8.339233,7.010596,3.005123,12.320651,17.87744,16.494107,18.78455,12.777331,10.257348,16.898524
HYD033674,18.751467,16.82915,2.124402,4.498546,20.797941,10.785345,25.407158,20.71011,6.083484,7.792744,12.3552,19.87466,5.934696,20.594876,11.832779,20.145843,5.659475,19.16231,0.0,4.471931,24.502261,20.597558,19.693348,26.551079,8.165169,6.586846,1.508224,7.461883,16.850111,20.783993
HYD033573,15.011128,14.563547,6.393332,2.431017,17.22374,10.930854,22.020499,17.13591,6.584075,4.057286,17.159229,16.134321,9.954623,17.020676,8.026298,18.422458,2.174492,15.421972,5.186581,0.0,21.115602,17.023358,16.119147,23.216249,8.310678,7.391325,5.777154,3.726425,13.51528,19.060608
HYD005861,7.616177,21.871359,25.507036,21.280016,9.906032,26.700709,0.911492,9.896659,25.304785,19.631256,34.796506,8.661185,28.218979,10.075948,14.119127,24.400626,20.504947,9.472448,24.300285,21.246255,0.0,12.466808,10.173638,16.099614,24.552711,20.948479,24.873429,19.33093,18.3976,25.038776
HYD005812,8.005269,12.052841,21.126064,17.821625,4.766782,19.800697,12.767603,4.762964,18.855295,15.496455,29.591696,6.042075,21.318966,4.533096,9.997993,14.299547,17.003147,6.723249,20.022901,16.399908,12.579008,0.0,4.613825,7.19333,17.652699,21.273263,20.613474,15.165595,8.579083,14.937697
HYD005935,3.593159,12.322057,20.263651,16.855624,1.118847,19.498557,10.652149,1.031016,18.553155,14.530455,29.129097,1.532542,21.016827,1.121931,9.031992,14.851325,16.037146,2.619027,19.0569,15.433907,9.747251,4.317787,0.0,9.955464,17.350559,18.439991,19.647473,14.199594,8.848299,15.489475
HYD033865,12.511866,14.182538,25.194856,23.960491,9.440159,23.458407,16.246259,9.527989,22.924086,22.264543,33.660487,10.789685,25.387757,9.421926,16.76608,14.100268,23.195164,12.305196,25.152467,21.529474,16.057663,7.161115,9.910248,0.0,21.72149,28.041351,25.466577,21.933682,11.337802,14.607013
HYD033714,19.006114,10.997331,7.216011,8.064251,19.4983,4.017948,26.302926,19.494481,3.125195,11.358449,12.239941,19.486435,3.967211,19.264614,12.021283,14.314024,9.22518,19.296064,8.351779,7.309962,25.398029,18.977246,18.677662,23.588903,0.0,11.925656,7.914207,11.027588,13.887934,14.952174
HYD005779,12.975018,20.483879,12.363187,8.649676,16.272472,18.260346,18.820312,16.184642,13.558485,7.000916,21.621209,14.637624,16.168806,16.3835,9.62696,24.351296,7.874607,13.925274,11.264556,9.114567,17.915415,18.703889,15.55171,25.201828,15.64017,0.0,11.698132,6.815812,18.790188,24.989446
HYD005924,17.260782,15.583906,2.936701,3.007862,19.307256,9.540101,24.265273,19.219426,4.838239,6.302059,13.811011,18.383976,6.746995,19.104192,10.342095,18.900599,4.168791,17.671626,1.72995,2.981247,23.360375,19.106874,18.202664,25.060395,6.919925,6.852823,0.0,5.971199,15.359426,19.538749
