source_poi_id,HYD030998,HYD031124,HYD006669,HYD032909,HYD032894,HYD031677,HYD036265,HYD035447,HYD032911,HYD006665,HYD031109,HYD033108,HYD032857,HYD006067,HYD031779,HYD035469,HYD006039,HYD031720,HYD031297,HYD032858
HYD030998,0.0,19.161575,22.898542,1.583933,16.223943,29.20157,23.199617,26.212889,25.448649,20.860393,6.693155,14.13135,16.560311,25.395179,31.42494,34.192675,27.886262,20.287173,2.575306,37.10989
HYD031124,19.072747,0.0,25.812961,18.134556,19.138362,31.610836,10.196655,17.500948,24.921919,23.774812,23.030301,25.858775,19.66145,17.341921,16.268873,35.565233,30.295529,14.419762,16.869503,32.661141
HYD006669,22.652564,25.641395,0.0,22.734432,7.4189,6.338162,19.235316,16.735154,4.040622,2.747323,20.702043,17.531382,8.687485,15.890732,29.365174,11.372259,5.022855,15.23067,20.363704,17.16652
HYD032909,1.583933,18.215481,22.982863,0.0,16.308264,29.285891,22.612603,26.29721,25.53297,20.944714,8.115336,14.981496,16.783353,25.4795,30.837926,34.276997,27.970584,20.371494,2.526753,37.194211
HYD032894,15.586208,18.575039,7.475247,15.668076,0.0,13.778275,17.657019,16.702101,10.025354,5.437098,15.287201,12.518933,3.165725,15.884391,27.523395,18.76938,12.462967,12.569223,13.297348,22.649863
HYD031677,28.547268,31.287488,6.478972,28.629135,13.313603,0.0,22.69469,20.194527,7.224318,8.642026,26.596746,23.426085,14.582188,19.350106,32.824547,6.538855,1.469398,18.690044,26.258407,18.848402
HYD036265,23.778025,9.627012,19.04577,23.190025,17.874336,22.751422,0.0,8.40522,16.062505,19.323083,26.131572,27.456011,20.195082,8.246192,11.694113,26.704437,21.436115,4.951075,21.536102,23.800345
HYD035447,27.464686,16.598843,17.193343,27.480247,17.061122,20.898995,7.753494,0.0,14.210078,17.477391,28.971971,27.995821,19.381868,2.936041,16.030187,24.21982,19.583688,7.21648,25.175825,19.048947
HYD032911,25.778668,25.370144,3.927991,25.860536,10.545004,7.633644,16.777345,14.277183,0.0,5.873427,23.828147,20.657486,11.813589,13.432761,26.907203,12.667741,6.318337,12.772699,23.489808,14.655084
HYD006665,20.388307,23.377137,2.793729,20.470175,5.154642,9.096757,19.488966,16.988803,5.918531,0.0,18.437785,15.267124,6.423228,16.144381,29.618823,13.503656,7.78145,15.435592,18.099446,19.044429
HYD031109,6.751535,23.094355,20.720779,8.172756,15.427271,27.023807,25.93087,28.418719,23.501431,18.68263,0.0,7.495623,12.854999,27.601009,34.156193,29.553454,25.7085,22.493004,8.288101,36.627329
HYD033108,13.63622,25.599727,17.570678,14.849855,12.348528,23.465374,27.244357,28.082762,20.35133,15.532528,6.907677,0.0,9.776256,27.265052,35.50418,25.29787,22.558398,22.716853,12.561985,33.477228
HYD032857,16.012502,21.205901,8.445968,16.407969,3.301551,14.748996,20.848736,19.700203,11.22662,6.407819,12.343879,9.57561,0.0,18.855781,30.702503,18.408103,13.433688,15.815471,14.1201,24.192058
HYD006067,26.47507,17.082368,16.14256,26.556938,16.071507,19.848213,8.237019,2.657986,13.159296,16.426608,27.982355,27.006205,18.392252,0.0,16.513713,23.169038,18.532906,7.171627,24.18621,16.141375
HYD031779,31.731552,16.384965,29.059036,31.143552,27.887602,32.764688,11.716501,16.288494,26.075771,29.336349,34.0851,35.47641,28.768238,16.129466,0.0,36.717703,31.449381,14.964341,29.48963,30.604781
HYD035469,33.157567,34.796273,11.089272,33.239435,17.923903,5.110502,26.203475,23.517058,11.834617,13.252325,29.528793,25.327729,18.426243,22.672637,36.333332,0.0,6.079697,23.300343,30.868707,17.273514
HYD006039,27.416513,30.156734,5.348218,27.498381,12.182849,1.414392,21.563936,19.063773,6.093563,7.511271,25.465992,22.295331,13.451434,18.219351,31.693793,6.448489,0.0,17.559289,25.127653,17.676711
HYD031720,21.02738,14.602036,15.664487,21.109248,13.199447,19.37014,5.363982,7.646905,12.681222,15.667519,22.534665,22.950708,15.520192,7.322326,15.493839,24.404237,18.054832,0.0,18.73852,21.658637
HYD031297,2.729731,16.919652,20.687154,2.525767,14.012555,26.990182,20.957695,24.001501,23.237261,18.649005,8.040556,12.694849,14.487644,23.183791,29.183017,31.981288,25.674875,18.075785,0.0,34.898502
HYD032858,38.304769,32.895258,17.197126,38.386637,23.637396,18.079775,24.30246,19.186421,15.27121,19.142561,37.097281,33.92662,25.082723,18.003933,31.568127,16.476788,18.375058,21.557684,36.015909,0.0
