source_poi_id,HYD001952,HYD000595,HYD006254,HYD005990,HYD005901,HYD004601,HYD001915,HYD001852,HYD033651,HYD000623
HYD001952,0.0,11.825217,20.579207,5.473684,22.835731,19.8885,3.091101,9.173684,9.058189,18.349745
HYD000595,11.672379,0.0,21.63382,16.663775,34.025821,27.534536,9.444349,5.736865,6.505922,25.995782
HYD006254,20.826652,20.554684,0.0,23.452536,26.355703,16.2735,22.504731,18.99015,17.849906,16.094749
HYD005990,5.661322,16.714719,23.592413,0.0,18.502529,17.044368,7.838051,13.635745,13.413035,15.72484
HYD005901,22.795359,33.848756,26.500547,18.548771,0.0,10.796607,24.972088,29.503633,29.177866,11.465132
HYD004601,20.008445,27.371745,16.669701,16.943042,10.959235,0.0,21.686524,22.786117,22.46035,2.577204
HYD001915,2.519211,9.96087,22.34222,7.510607,24.872654,21.651513,0.0,7.309337,8.359225,20.112759
HYD001852,8.267285,5.302539,18.865397,12.953755,29.674342,22.705327,6.876461,0.0,1.25573,21.166573
HYD033651,9.184437,5.657147,18.168797,13.870908,29.871379,22.684929,7.770431,1.415968,0.0,21.112782
HYD000623,18.210001,25.573302,16.278567,15.495669,11.429643,2.341905,19.88808,20.987674,20.661907,0.0
