source_poi_id,HYD031023,HYD030858,HYD006662,HYD031127,HYD030861,HYD031315,HYD031032,HYD031074,HYD036276,HYD031286,HYD031008,HYD035690,HYD030924,HYD036175,HYD036181,HYD031273,HYD031037,HYD031205,HYD030983,HYD030885
HYD031023,0.0,11.109757,15.127737,19.753388,4.815564,15.437663,16.429952,12.775173,22.305614,19.631551,4.246425,10.083118,23.021067,13.400155,7.961735,16.956001,7.19955,5.516191,4.932119,8.143249
HYD030858,11.230513,0.0,7.287923,10.22552,15.392358,6.419169,8.660208,12.076692,14.672596,10.103683,11.74054,13.691617,15.17698,13.649879,18.538529,6.800672,5.248678,6.198501,15.508913,15.030671
HYD006662,15.194402,6.683391,0.0,4.807976,19.341886,7.084425,2.697663,10.491604,9.022616,4.686139,14.771535,12.910577,16.013309,17.66141,22.488057,5.202819,8.379876,9.634815,19.458441,15.553184
HYD031127,19.873374,10.269343,4.754685,0.0,24.020857,9.712987,3.725876,14.762495,6.174952,0.24518,19.261378,17.315768,13.235979,21.152934,27.167028,4.871065,13.058848,14.313787,24.137412,19.958375
HYD030861,4.514031,15.500882,19.518862,24.144513,0.0,19.828788,20.821077,15.258686,26.696739,24.022676,7.456322,12.314804,27.412192,16.126718,3.807954,21.347126,11.590675,9.907315,0.537181,10.320726
HYD031315,14.7485,5.872944,6.662136,8.801545,18.910344,0.0,7.959567,16.419775,13.814789,8.679708,16.46221,18.838748,9.816153,13.153021,22.056515,4.575232,10.606736,11.328148,19.026899,20.359034
HYD031032,16.632867,8.197281,2.576828,3.79945,20.78035,8.13951,0.0,11.360722,6.892908,3.662968,15.640652,13.779695,15.41543,19.127957,23.926521,5.193938,9.818341,11.07328,20.896905,16.422302
HYD031074,12.368644,12.655172,11.043176,15.003995,14.802829,17.176464,11.617594,0.0,15.380506,14.928147,9.961772,4.665915,26.105349,24.419842,15.87377,15.831641,10.848652,11.582479,15.125751,8.351252
HYD036276,22.330285,14.439102,8.717472,5.966342,26.477768,14.264098,6.86697,14.828715,0.0,5.890494,20.860171,17.825561,18.508771,25.369777,27.990686,9.718686,15.515759,16.770697,26.594323,20.468168
HYD031286,19.630528,10.095672,4.51184,0.24518,23.778012,9.59115,3.48303,14.65395,6.099104,0.0,19.018533,17.072923,13.194678,20.979264,26.924183,4.829765,12.816002,14.070941,23.894567,19.71553
HYD031008,3.97959,11.744135,14.184925,18.810577,7.079912,17.274999,15.313034,8.663378,21.070481,18.68874,0.0,5.971323,25.102455,16.555365,10.036604,17.656501,6.863055,5.839431,7.402834,4.031454
HYD035690,10.259688,13.872168,13.587407,17.669527,11.989731,19.414048,14.161825,4.675106,18.717722,17.533046,7.852817,0.0,28.171859,22.835463,13.060672,18.375872,10.118719,10.852546,12.312653,5.248674
HYD030924,22.990827,15.20311,15.992302,13.200995,27.152671,9.641479,15.495396,25.749941,18.703987,13.159132,24.704537,28.168914,0.0,16.528741,30.298842,11.314723,19.595033,19.570475,27.269226,28.601361
HYD036175,13.709763,13.983841,18.136441,20.717547,16.189515,13.428892,19.508726,23.124802,25.574819,20.59571,16.545268,22.381961,16.549462,0.0,19.302722,16.491234,15.104894,13.52941,16.242702,20.442092
HYD036181,7.643415,18.630266,21.825522,26.451173,3.67259,22.958172,22.953631,14.88521,27.627652,26.329336,8.847748,11.941328,30.541576,18.932781,0.0,24.47651,13.834273,12.810649,3.426608,9.947249
HYD031273,17.086482,6.370855,4.967871,4.554802,21.248327,5.027436,5.064886,15.403843,9.669059,4.432965,17.596508,17.822815,11.311867,16.674945,24.394498,0.0,11.104647,12.05447,21.364882,20.465422
HYD031037,7.36638,5.347041,8.379412,13.005063,11.513863,10.888921,9.681627,9.701039,15.557288,12.883226,6.760988,10.327842,19.646733,14.876214,14.660034,11.270424,0.0,1.885867,11.630418,10.657812
HYD031205,5.677517,5.994831,9.705431,14.331082,9.825,11.525695,11.007646,11.253843,16.883307,14.209245,5.71931,10.378758,19.353151,13.613669,12.971172,11.907198,1.873669,0.0,9.941555,9.616135
HYD030983,4.540499,15.52735,19.54533,24.170981,0.537181,19.855256,20.847545,15.285154,26.723207,24.049144,7.48279,12.341272,27.43866,15.993781,3.431276,21.373594,11.617143,9.933784,0.0,10.347194
HYD030885,7.518365,15.072232,16.665035,20.747156,7.950636,20.614112,17.239454,9.052909,21.795351,20.610674,5.112991,4.895162,28.642728,20.095638,9.027106,20.995614,10.403328,9.379704,8.273558,0.0
