source_poi_id,HYD005590,HYD000135,HYD005625,HYD035559,HYD005596,HYD003793,HYD005624,HYD003743,HYD035574,HYD003751,HYD003784,HYD003746,HYD035577,HYD003744,HYD009900,HYD035589,HYD003756,HYD003786,HYD003789,HYD005609,HYD003770,HYD005638,HYD003804,HYD003769,HYD005630,HYD005617,HYD035583,HYD005584,HYD003842,HYD003781
HYD005590,0.0,12.548593,34.135401,22.949321,20.360836,21.391401,26.855458,22.251168,9.428178,18.923185,32.053558,25.709784,10.509636,22.492264,17.284815,23.974295,25.805609,29.846843,21.633901,26.370597,16.827797,10.739201,21.883892,26.579881,35.328216,10.693938,23.915816,9.000353,27.786598,24.796477
HYD000135,12.599875,0.0,28.238677,19.247168,22.753588,24.104445,23.919391,14.625825,12.648844,15.990733,25.309046,21.39797,11.03442,25.502297,15.913295,19.525491,22.282643,23.693682,17.33489,25.986911,16.247547,10.079381,17.572078,22.147173,29.431492,13.719652,19.604001,17.601247,23.735911,19.13363
HYD005625,33.688662,28.969735,0.0,12.449128,17.211583,18.114013,8.595142,18.308263,26.05778,15.751488,12.246466,9.472172,25.029036,19.227661,17.790608,14.369737,9.255776,7.608502,13.439932,16.529526,17.903448,24.445151,12.950056,9.229818,4.446153,39.51871,10.770066,29.55469,6.716242,9.998614
HYD035559,22.691356,20.015678,12.577132,0.0,6.5265,7.897804,5.300207,13.880381,15.060474,4.859828,15.888419,4.359882,14.046312,9.43174,6.898948,5.162179,3.792853,10.885956,2.349041,7.860479,7.011787,13.55349,2.14792,5.252684,14.716764,29.832719,3.111828,18.557385,5.822993,6.833135
HYD005596,19.962286,23.201808,16.768421,6.176728,0.0,1.95068,8.660976,19.587823,12.331404,7.133084,20.956697,9.67343,12.515213,3.484616,9.172204,9.956183,8.223344,15.954234,6.735733,6.812362,8.670639,13.4136,7.17055,10.461226,18.908053,27.64274,8.819269,14.849607,10.017143,12.540577
HYD003793,20.45033,23.689852,18.964809,8.373116,2.309416,0.0,10.857364,20.897488,12.819448,8.376811,23.153085,11.869818,13.003257,2.342226,10.415931,11.199909,10.419732,18.150622,7.97946,6.391497,9.914366,13.901644,8.414276,12.657614,21.104441,28.130785,10.41774,14.825984,12.213531,14.103185
HYD005624,27.020424,25.457882,9.101493,6.178068,10.462136,11.070794,0.0,16.803145,19.389542,10.302031,13.605571,4.664751,19.39984,11.749301,12.341152,10.033731,3.181145,8.603108,7.990475,9.051166,12.453991,18.995694,7.500599,4.693976,11.241125,34.700879,5.975776,22.886453,2.347354,8.701045
HYD003743,22.66439,14.834705,18.655424,14.492493,20.055595,21.408772,17.237216,0.0,20.312738,13.382614,12.455725,13.275298,16.376701,22.942709,13.594799,12.558569,15.718781,13.792108,14.613364,21.59679,13.910658,15.6767,14.123488,13.404833,19.394809,26.849874,12.725801,25.26514,16.232712,9.550378
HYD035574,8.997125,13.330718,26.380225,14.791669,12.203184,13.233749,18.697807,19.798429,0.0,11.591382,26.669524,18.167317,3.571143,14.334613,9.953012,16.642492,17.647958,23.477524,13.991699,18.212946,9.495994,4.469531,14.426515,19.037414,28.519857,16.677579,16.429979,6.313115,19.628947,18.427158
HYD003751,20.508393,17.29578,16.441766,5.137804,7.223764,8.574621,9.735831,13.489151,13.188787,0.0,17.777053,7.349685,11.02883,10.108557,3.007594,5.614196,8.173279,13.855858,3.286605,10.739704,3.120434,10.548417,3.523794,8.219782,18.581398,27.112821,5.555717,16.685698,9.687626,8.805492
HYD003784,31.629893,25.58279,11.364271,16.250913,21.664704,22.730068,13.558581,12.017176,26.754965,17.169965,0.0,12.493595,22.818928,24.053116,18.365747,14.95842,13.388409,5.108158,16.655361,21.354981,18.677678,22.148275,16.165485,12.251242,8.090084,36.131765,13.793004,31.707367,12.032972,10.486272
HYD003746,25.523871,22.129654,10.603058,4.364231,10.104478,11.457655,4.705827,12.477947,17.892989,6.973803,12.816483,0.0,16.251351,12.991592,9.012924,6.705503,3.332797,7.81402,4.662247,10.62832,9.125763,15.667466,4.172371,1.565668,12.74269,31.946695,1.650578,21.3899,3.848919,4.768714
HYD035577,10.017464,10.773698,24.4832,13.596242,12.896109,13.926674,18.150249,16.314388,4.489659,9.13455,23.185483,15.92115,0.0,15.027538,7.496181,14.18566,16.631717,20.194643,11.845267,18.905871,7.039163,0.98549,12.095258,16.791247,25.676016,17.423779,14.127181,9.442062,18.259091,15.144276
HYD003744,23.30233,26.541852,20.100271,10.002624,5.161415,3.086448,11.828993,23.413718,15.671447,11.222537,24.489531,13.213065,15.855256,0.0,13.261658,14.045636,11.555194,19.487068,10.825186,5.697716,12.760092,16.753644,11.260003,14.00086,22.239903,30.982784,12.645165,16.532481,13.348993,16.366472
HYD009900,18.454843,15.988529,17.609259,6.366376,9.091433,10.44229,11.038599,12.6895,11.775626,2.328579,17.775222,8.517178,8.97528,11.976226,0.0,6.781689,9.401851,13.854027,4.454098,12.607373,1.833975,8.433217,4.691287,9.387275,19.3354,24.999832,6.72321,15.998428,10.85512,8.803661
HYD035589,24.06638,20.46512,15.721245,5.25192,10.111109,11.464287,9.824014,13.478475,17.529582,5.309269,16.738942,6.708295,14.586817,12.998223,7.348389,0.0,8.00188,12.153689,3.575674,12.227696,7.461229,14.002932,3.410574,7.607609,17.375123,30.282161,4.835196,21.026493,8.967106,6.934235
HYD003756,25.341999,23.088844,9.701781,4.031811,9.177142,10.235613,2.835493,14.767102,17.711116,7.932993,13.067218,2.628708,17.119478,11.349261,9.972113,7.997688,0.0,8.064755,5.422206,8.651126,10.084953,16.626656,5.221085,3.0534,11.841413,32.905885,3.939733,21.208027,2.950503,6.724557
