case_id,poi_count,unique_road_nodes,total_matrix_entries,reachable_entries,unreachable_entries,diagonal_zero,matrix_file
S001,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S001_distance_matrix.csv
S002,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S002_distance_matrix.csv
S003,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S003_distance_matrix.csv
S004,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S004_distance_matrix.csv
S005,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S005_distance_matrix.csv
S006,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S006_distance_matrix.csv
S007,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S007_distance_matrix.csv
S008,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S008_distance_matrix.csv
S009,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S009_distance_matrix.csv
S010,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S010_distance_matrix.csv
S011,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S011_distance_matrix.csv
S012,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S012_distance_matrix.csv
S013,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S013_distance_matrix.csv
S014,20,18,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S014_distance_matrix.csv
S015,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S015_distance_matrix.csv
S016,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S016_distance_matrix.csv
S017,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S017_distance_matrix.csv
S018,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S018_distance_matrix.csv
S019,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\S019_distance_matrix.csv
S020,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\S020_distance_matrix.csv
S021,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\S021_distance_matrix.csv
M001,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\M001_distance_matrix.csv
M002,20,20,400,381,19,True,route_optimization_research\multi_poi\results\distance_matrices\M002_distance_matrix.csv
M003,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\M003_distance_matrix.csv
M004,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\M004_distance_matrix.csv
M005,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\M005_distance_matrix.csv
M006,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\M006_distance_matrix.csv
M007,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\M007_distance_matrix.csv
M008,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\M008_distance_matrix.csv
M009,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\M009_distance_matrix.csv
M010,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\M010_distance_matrix.csv
M011,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\M011_distance_matrix.csv
M012,30,30,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\M012_distance_matrix.csv
M013,10,10,100,100,0,True,route_optimization_research\multi_poi\results\distance_matrices\M013_distance_matrix.csv
M014,20,20,400,400,0,True,route_optimization_research\multi_poi\results\distance_matrices\M014_distance_matrix.csv
M015,30,29,900,900,0,True,route_optimization_research\multi_poi\results\distance_matrices\M015_distance_matrix.csv
