interest_profile,cases,avg_execution_time_ms,avg_distance_km,avg_geographic_spread_km,avg_candidate_evaluations
Culture & Heritage,3,992.3473333474249,139.615083,29.10596666666667,95000.0
Culture & Heritage + Food,3,908.1396999924133,115.439948,24.53576666666667,95000.0
Culture & Heritage + Religion,3,928.0166333386054,154.80310999999998,32.293933333333335,95000.0
Entertainment,3,936.9228333234787,141.99413833333335,31.12426666666667,95000.0
Food,3,1038.0909000135337,127.46633733333333,26.290266666666668,95000.0
Food + Entertainment,3,986.8830000438417,123.14333800000001,29.446299999999997,95000.0
Food + Shopping,2,947.1702000009827,126.39347950000001,26.0119,95000.0
Nature & Outdoors,3,944.8105333528171,144.3682533333333,28.722633333333334,95000.0
Nature & Outdoors + Recreation & Sports,3,917.7050999909019,154.4669173333333,31.529533333333333,95000.0
Recreation & Sports,3,968.7242332923537,169.22475366666666,35.3073,95000.0
Religion,3,931.6518999791393,143.81703466666667,31.485766666666667,95000.0
Shopping,3,968.8269000034779,115.3843716666667,34.413666666666664,95000.0
