poi_a,poi_b,name_a,name_b,category_a,category_b,itinerary_category_a,itinerary_category_b,latitude_a,longitude_a,latitude_b,longitude_b,distance_m,name_similarity,same_itinerary_category,decision
HYD032783,HYD032786,shivalayam,shivalayam temple,place_of_worship,place_of_worship,Religion,Religion,17.386481179999997,78.43968956,17.386481179999997,78.43968956,0.0,0.741,True,Likely Distinct
HYD003742,HYD003744,Cinepolis,Cinepolis-mantra mall,cinema,cinema,Entertainment,Entertainment,17.353660825,78.42073020000001,17.353660825,78.42073020000001,0.0,0.6,True,Likely Distinct
HYD031318,HYD033366,triangular park,Eat Well,park,restaurant,Nature & Outdoors,Food,17.4917874,78.3977643,17.4917874,78.3977643,0.0,0.174,False,Likely Distinct
HYD034075,HYD035310,sai balaji tiffin center,SVM super mart,restaurant,supermarket,Food,Shopping,17.5622083,78.4547218,17.5622111,78.4547224,0.318,0.211,False,Likely Distinct
HYD033404,HYD033461,Godavari ruchulu,Hotel Sarovar,restaurant,restaurant,Food,Food,17.4318064,78.4468436,17.431799,78.4468438,0.824,0.345,True,Likely Distinct
HYD005737,HYD005915,Chick Blast,Pizza Hut,fast_food,fast_food,Food,Food,17.4892653,78.4508557,17.4892699,78.4508626,0.894,0.2,True,Likely Distinct
HYD031839,HYD031840,Baptist,Baptist Church,place_of_worship,place_of_worship,Religion,Religion,17.39611287777778,78.48935003333332,17.3961081,78.489357,0.911,0.667,True,Likely Distinct
HYD004458,HYD004490,Rekha Fashions,She Trends,clothes,clothes,Shopping,Shopping,17.4783026,78.5601533,17.4783107,78.5601569,0.979,0.25,True,Likely Distinct
HYD004271,HYD034812,Charitha Clothes,Adithi Goi,clothes,stationery,Shopping,Shopping,17.4781104,78.5606749,17.4781102,78.5606847,1.041,0.462,True,Likely Distinct
HYD032130,HYD032446,Lord Shiva Temple,Shivalayam,place_of_worship,place_of_worship,Religion,Religion,17.4955019,78.5928944,17.4955067,78.5928853,1.104,0.444,True,Likely Distinct
HYD004392,HYD004530,Manyavar,Twills,clothes,clothes,Shopping,Shopping,17.4792167,78.5583153,17.4792077,78.5583109,1.106,0.0,True,Likely Distinct
HYD034683,HYD034685,Centro,Centro - Fashion for your feet,shoes,shoes,Shopping,Shopping,17.4941954,78.3998045,17.4941985,78.3997942,1.147,0.353,True,Likely Distinct
HYD005538,HYD005559,Pro spice,Samsung,electronics,electronics,Shopping,Shopping,17.479326,78.5579485,17.4793257,78.5579372,1.201,0.125,True,Likely Distinct
HYD005525,HYD034878,One Stop,Zivame,electronics,stationery,Shopping,Shopping,17.4783206,78.5600691,17.4783312,78.5600718,1.214,0.143,True,Likely Distinct
HYD003798,HYD003799,Sandhya 70mm,Sandhya cinemas,cinema,cinema,Entertainment,Entertainment,17.4070181,78.4973309,17.40701994,78.49734228,1.226,0.667,True,Likely Distinct
HYD004315,HYD005553,Haryana Handloom,SS Digitals,clothes,electronics,Shopping,Shopping,17.4780526,78.5608107,17.4780421,78.5608067,1.244,0.148,True,Likely Distinct
HYD035335,HYD035343,Spencars,Spenser's Supermarket,supermarket,supermarket,Shopping,Shopping,17.4376637,78.4484512,17.4376555,78.4484419,1.345,0.414,True,Likely Distinct
HYD004457,HYD005525,Rekha Fashions,One Stop,clothes,electronics,Shopping,Shopping,17.4783136,78.5600584,17.4783206,78.5600691,1.378,0.273,True,Likely Distinct
HYD033598,HYD034037,Mayur Tiffins,guma gumalu,restaurant,restaurant,Food,Food,17.491354840000003,78.4072622,17.4913568,78.4072751,1.387,0.25,True,Likely Distinct
HYD005540,HYD034813,RK Shoppie Mobiles,Alie's optics,electronics,stationery,Shopping,Shopping,17.4747372,78.5681694,17.4747253,78.5681734,1.391,0.387,True,Likely Distinct
HYD006887,HYD006888,TSRTC Guest House,TSRTC Officers Guest House,guest_house,guest_house,Accommodation,Accommodation,17.4003201,78.4831368,17.4003323,78.4831415,1.447,0.791,True,Likely Distinct
HYD005947,HYD005953,Sri Sai bakery,Sri sai bakery and fastfood,fast_food,fast_food,Food,Food,17.330870259999998,78.60777812,17.3308801,78.6077872,1.459,0.683,True,Likely Distinct
HYD004271,HYD004291,Charitha Clothes,Denim Clothes,clothes,clothes,Shopping,Shopping,17.4781104,78.5606749,17.4781236,78.5606759,1.473,0.621,True,Likely Distinct
HYD001855,HYD006183,Chai Point,Chai Ki Bandi,cafe,food_court,Food,Food,17.4943681,78.3927001,17.4943808,78.3926954,1.499,0.609,True,Likely Distinct
HYD005890,HYD034038,McDonald's,habanero,fast_food,restaurant,Food,Food,17.4480015,78.3789451,17.447991,78.3789356,1.544,0.111,True,Likely Distinct
HYD000555,HYD033772,Cakes n Krisps,Roll Cal,bakery,restaurant,Food,Food,17.4596376,78.366004,17.4596243,78.3659996,1.553,0.182,True,Likely Distinct
HYD005186,HYD032165,حواله + صيرفه كاظم,Mallapaly Masjid,convenience,place_of_worship,Shopping,Religion,17.3919992,78.4578523,17.391990566666667,78.45786422222223,1.59,0.0,False,Likely Distinct
HYD005851,HYD006054,KFC,Go Fitness,fast_food,fitness_centre,Food,Recreation & Sports,17.4949264,78.3560827,17.4949226,78.3560679,1.628,0.154,False,Likely Distinct
HYD033431,HYD033868,Hamza Restaurant,Sri Raghavendra Hotel,restaurant,restaurant,Food,Food,17.4060305,78.5559089,17.4060452,78.5559104,1.644,0.27,True,Likely Distinct
HYD004309,HYD034831,Gokulam,Kotha konda silver palace,clothes,stationery,Shopping,Shopping,17.4756167,78.5680322,17.4756039,78.5680242,1.659,0.25,True,Likely Distinct
HYD004307,HYD009170,Glitz,Shubhlaxmi Jewellers,clothes,jewelry,Shopping,Shopping,17.4782048,78.5604178,17.47819,78.5604151,1.672,0.16,True,Likely Distinct
HYD004474,HYD034834,S kumar clothes,Lucky Gaming Zone,clothes,stationery,Shopping,Shopping,17.473735,78.5693707,17.4737465,78.5693814,1.712,0.312,True,Likely Distinct
HYD004291,HYD034812,Denim Clothes,Adithi Goi,clothes,stationery,Shopping,Shopping,17.4781236,78.5606759,17.4781102,78.5606847,1.76,0.348,True,Likely Distinct
HYD000704,HYD005184,vasavi bakery,vasavi kirana and general store,bakery,convenience,Food,Shopping,17.4746457,78.5380538,17.4746433,78.5380372,1.783,0.455,False,Likely Distinct
HYD005515,HYD034834,Electronics Hub,Lucky Gaming Zone,electronics,stationery,Shopping,Shopping,17.4737622,78.5693851,17.4737465,78.5693814,1.791,0.25,True,Likely Distinct
HYD032745,HYD032809,pochamma temple,temple,place_of_worship,place_of_worship,Religion,Religion,17.31954132,78.4020548,17.3195423,78.4020718,1.809,0.571,True,Likely Distinct
HYD005924,HYD009045,Rice Bowl,Kwality Walls,fast_food,ice_cream,Food,Food,17.4580828,78.3715746,17.4580725,78.371588,1.828,0.364,True,Likely Distinct
HYD032375,HYD032767,"Sai Baba Temple, Gudimalkapur",sai baba temple,place_of_worship,place_of_worship,Religion,Religion,17.386312649999997,78.43967019999998,17.38630374,78.43965566,1.835,0.698,True,Likely Distinct
HYD006188,HYD035228,Cibo house,RATNADEEP,food_court,supermarket,Food,Shopping,17.4431312,78.3548203,17.4431249,78.3548368,1.888,0.105,False,Likely Distinct
HYD004310,HYD006195,Gokulam,"Double cask,Double depthi of flavour",clothes,food_court,Shopping,Food,17.4735946,78.5699611,17.4735794,78.569953,1.898,0.233,False,Likely Distinct
HYD001568,HYD009057,Sri Sai Fruit Juices,S S Ice cream Parlour,beverages,ice_cream,Food,Food,17.4947847,78.3213809,17.4947818,78.3213992,1.97,0.341,True,Likely Distinct
HYD009284,HYD033330,Study Guru Reading Room,Date With Soup Restaurant,library,restaurant,Culture & Heritage,Food,17.4424982,78.4393395,17.442481,78.439334,2.002,0.292,False,Likely Distinct
HYD033595,HYD033596,Mayabazar,Mayabazar Restaurant,restaurant,restaurant,Food,Food,17.4609913,78.50074868,17.4609913,78.5007677,2.02,0.621,True,Likely Distinct
HYD032038,HYD032662,Hanuman temple,anjaneya swami temple,place_of_worship,place_of_worship,Religion,Religion,17.4062941,78.4931993,17.4063036,78.4931822,2.102,0.629,True,Likely Distinct
HYD004417,HYD004546,New Cotton,Walkway Footwear,clothes,clothes,Shopping,Shopping,17.4774752,78.5622838,17.4774946,78.5622772,2.271,0.308,True,Likely Distinct
HYD033233,HYD033928,Barbeque Nation,The English Cafe,restaurant,restaurant,Food,Food,17.4241883,78.3439964,17.4242094,78.3439979,2.354,0.258,True,Likely Distinct
HYD004335,HYD004433,KADHI TRENDS,Pink Panel Clothes,clothes,clothes,Shopping,Shopping,17.4779883,78.5610481,17.4779672,78.5610451,2.37,0.333,True,Likely Distinct
HYD031710,HYD034745,JNTU Basketball Ground,Basketball Court,pitch,sports_centre,Recreation & Sports,Recreation & Sports,17.4911159,78.3904076,17.4910998,78.3904228,2.412,0.684,True,Likely Distinct
