interest_profile,cases,avg_execution_time_ms,avg_distance_km,avg_geographic_spread_km,avg_candidate_evaluations
Culture & Heritage,3,9062.935799981156,123.69040066666668,29.10596666666667,1047660.0
Culture & Heritage + Food,3,9077.80990000659,103.10210433333334,24.53576666666667,1047660.0
Culture & Heritage + Religion,3,9412.558133364655,131.21329966666667,32.293933333333335,1047660.0
Entertainment,3,9421.474366642846,123.75871733333334,31.12426666666667,1047660.0
Food,3,9333.761733296948,103.01816266666667,26.290266666666668,1047660.0
Food + Entertainment,3,11222.295700029159,107.64281933333332,29.446299999999997,1047660.0
Food + Shopping,2,9503.25895001879,103.98981049999999,26.0119,1047660.0
Nature & Outdoors,3,9414.068733380796,120.46976066666666,28.722633333333334,1047660.0
Nature & Outdoors + Recreation & Sports,3,9217.2773333344,130.40317866666666,31.529533333333333,1047660.0
Recreation & Sports,3,9352.828833352154,138.70375666666666,35.3073,1047660.0
Religion,3,9191.905699980756,117.16531500000002,31.485766666666667,1047660.0
Shopping,3,9431.197033341354,103.73563966666667,34.413666666666664,1047660.0
