size,route_id,source,target,dijkstra_found,dijkstra_distance_km,dijkstra_time_ms,dijkstra_nodes_explored,astar_found,astar_distance_km,astar_time_ms,astar_nodes_explored
500K,1,5316160508,2225436126,True,23.298758754270587,1176.8845999904443,338570,True,23.298758754270587,1661.0980000114068,78962
500K,2,3602303338,12056943227,True,27.556881372655372,2315.0790000217967,414678,True,27.556881372655372,1104.0345999936108,109263
500K,3,11830305793,2795778783,True,18.217095463698552,1810.157400002936,371455,True,18.217095463698552,360.3479999874253,33937
500K,4,2786022840,2244373453,True,21.16676309693438,1645.5721000093035,289298,True,21.16676309693438,393.577600014396,55205
500K,5,7682112481,2221879074,True,25.265765848379477,2043.5363999858964,359570,True,25.265765848379477,791.3546999916434,97116
500K,6,7674099365,4204326559,True,18.589959417852185,1037.1288000023924,220948,True,18.589959417852185,179.49419998330995,22697
500K,7,12012116071,7686810081,True,20.456212036891607,1731.7470999842044,305877,True,20.456212036891607,508.3886999927927,71458
500K,8,1779029060,3612563121,True,6.316326233063348,273.69450000696816,58655,True,6.316326233063348,46.212100016418844,7799
500K,9,7691458321,3612538211,True,19.827757477641523,1551.2321999995038,292971,True,19.827757477641523,458.2544000004418,52821
500K,10,366528808,1952160041,True,15.371846293965586,1278.4479999972973,254774,True,15.371846293965586,307.8000000095926,40716
500K,11,2783285465,2794281205,True,18.243209368418658,784.6858000266366,184715,True,18.243209368418658,320.7193999842275,44070
500K,12,3614582630,11478700708,True,20.278124785392226,586.7823000007775,148742,True,20.278124785392226,164.25359999993816,22536
500K,13,11152941639,4180624939,True,12.67082036032988,560.6936999829486,136607,True,12.67082036032988,153.61209999537095,20023
500K,14,7709397841,7668377794,True,29.348579150445264,2317.1972000272945,466964,True,29.348579150445264,561.3281000114512,53499
500K,15,6117689678,7642520568,True,29.66720529116401,2207.2153999761213,460510,True,29.66720529116401,878.2172999926843,108020
500K,16,3939234336,7675830241,True,28.646447597573665,2228.5885000019334,436907,True,28.646447597573665,1015.0090999959502,89637
500K,17,3598283504,11462430225,True,29.882711579345752,2008.3539999905042,431947,True,29.882711579345752,650.445800012676,82983
500K,18,11873685765,2852225775,True,16.507272431611337,1001.8202000064775,230777,True,16.507272431611337,504.0710000030231,31765
500K,19,2782950415,11824415119,True,27.06249059093046,2098.044599988498,378302,True,27.06249059093046,823.7653999822214,77236
500K,20,7682289859,5765581869,True,11.985820884505564,1112.5455000146758,214026,True,11.985820884505564,123.03829999291338,16978
500K,21,12240487559,2249841871,True,23.43029282751336,1954.2192000080831,404434,True,23.43029282751336,807.4340999883134,89481
500K,22,7637619127,2724678199,True,11.736846511723192,176.3844000233803,36125,True,11.736846511723192,42.62999998172745,6251
500K,23,3547294687,3579912668,True,4.984971860198728,107.60419999132864,27807,True,4.984971860198728,11.445800017099828,1695
500K,24,7710977755,3614472666,True,34.590631630138866,2244.808399991598,497019,True,34.590631630138866,1299.4826000067405,164609
500K,25,7698090285,7687500228,True,23.349463700018912,1123.0143000138924,242492,True,23.349463700018912,509.19599999906495,64265
500K,26,7675789261,6432145811,True,8.869687246550475,300.8873000217136,77140,True,8.869687246550475,19.51740001095459,2989
500K,27,3598273756,3812514680,True,39.4851931781833,2390.6368000025395,496038,True,39.4851931781833,1823.0817000148818,223012
500K,28,3598263588,11478587515,True,18.33242182284318,1548.0130000214558,336072,True,18.33242182284318,391.58019999740645,54747
500K,29,3550388659,4204520248,True,32.59820166669568,2081.7763000086416,447277,True,32.59820166669568,1047.760699992068,124980
500K,30,12061046452,9938825076,True,23.20769206839906,1838.3715999952983,372475,True,23.20769206839906,830.1187999895774,107230
