route,source,target,dijkstra_time_ms,astar_time_ms,bidirectional_dijkstra_time_ms,bidirectional_astar_time_ms,dijkstra_nodes,astar_nodes,bidirectional_dijkstra_nodes,bidirectional_astar_nodes,dijkstra_distance_km,astar_distance_km,bidirectional_dijkstra_distance_km,bidirectional_astar_distance_km,dijkstra_path_valid,astar_path_valid,bidirectional_dijkstra_path_valid,bidirectional_astar_path_valid,valid,max_distance_difference_km,path_distance_difference_km
1,11158461431,4012220692,110.21879996405914,8.494400011841208,29.246299993246794,135.61870000557974,31692,4218,17427,37302,6.663942462174552,6.663942462174552,6.6639424621745516,6.663942462174552,True,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
2,312819899,13401221284,49.87389995949343,33.99929997976869,63.37289995281026,330.292799975723,36554,15294,30601,64586,11.194119919290419,11.194119919290419,11.194119919290415,11.194119919290419,True,True,True,True,True,3.552713678800501e-15,3.552713678800501e-15
3,2585252664,2241238410,75.16950002172962,10.801199998240918,38.285399961750954,279.8209000029601,42972,4308,21288,67174,8.495190068302074,8.495190068302074,8.495190068302069,8.495190068302074,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
4,11840524019,1939290831,20.1971999485977,5.12490002438426,10.244700009934604,101.02060000644997,13200,2119,6517,24502,4.406033580592921,4.406033580592921,4.406033580592922,4.406033580592921,True,True,True,True,True,8.881784197001252e-16,8.881784197001252e-16
5,13397459075,1596025062,56.86799995601177,31.92839998519048,64.26660000579432,327.6418999885209,42109,6625,24935,76170,9.269100097065515,9.269100097065515,9.269100097065522,9.269100097065515,True,True,True,True,True,7.105427357601002e-15,7.105427357601002e-15
6,11868549970,13400278140,42.948000016622245,19.270199991296977,63.591400044970214,403.35840004263446,34729,7819,28437,78620,8.016361606592355,8.016361606592355,8.016361606592344,8.016361606592355,True,True,True,True,True,1.0658141036401503e-14,1.0658141036401503e-14
7,6151092940,1594743896,28.863699990324676,22.990499972365797,41.76899994490668,411.3870000001043,23793,10186,22740,52432,8.895524922805988,8.895524922805988,8.895524922805997,8.895524922805988,True,True,True,True,True,8.881784197001252e-15,8.881784197001252e-15
8,7713048831,7709635476,115.840999991633,36.903099971823394,108.49840001901612,727.6493999524973,47907,6730,27081,66346,11.150975117480664,11.150975117480664,11.150975117480659,11.150975117480664,True,True,True,True,True,5.329070518200751e-15,5.329070518200751e-15
9,10614373529,2859545157,1.2571000261232257,0.23340003099292517,0.6907000206410885,8.219000010285527,705,56,345,1138,0.9366180632817405,0.9366180632817405,0.9366180632817405,0.9366180632817405,True,True,True,True,True,0.0,0.0
10,1595259530,2236890255,41.24469996895641,13.237599981948733,49.150099977850914,602.2000000230037,14609,1957,11238,35904,5.711875809432871,5.711875809432871,5.711875809432874,5.711875809432871,True,True,True,True,True,2.6645352591003757e-15,2.6645352591003757e-15
